ID,Hashtag,Text,TimeStamp
1519589138898427907,india,"@NEARProtocol
@NearMemeDaily
@MEMEDAILY_IN

#NEAR #NEARmemedaily #NearMemeDailyIndia #trendingvideo #meme #india #Web3 #MusicNFTs https://t.co/k5jbIEt0BN",2022-04-28 08:07:37+00:00
1519589138898427907,india,"@NEARProtocol
@NearMemeDaily
@MEMEDAILY_IN

#NEAR #NEARmemedaily #NearMemeDailyIndia #trendingvideo #meme #india #Web3 #MusicNFTs https://t.co/k5jbIEt0BN",2022-04-28 08:07:37+00:00
1519589146397798400,india,RT @DrAmbardar: @jihadwatchRS @mehdirhasan It doesn't get any clearer than this. #India https://t.co/sbHTM3hMJc,2022-04-28 08:07:39+00:00
1519589147895291904,covid,"RT @tg2000it: TG2000, 28 aprile 2022 – Ore 8.30
https://t.co/uiKMCybRKy
#UkraineRussiaWar #guerra  #COVID 
@tv2000it",2022-04-28 08:07:40+00:00
1519589154656428032,ipl,"RT @roshantodi: What a sensational pace #UmranMalik has. The pace and the celebration, you beauty!
#IPL #IPL2022 #Cricket #T20worldcup",2022-04-28 08:07:41+00:00
1519589154656428032,ipl,"RT @roshantodi: What a sensational pace #UmranMalik has. The pace and the celebration, you beauty!
#IPL #IPL2022 #Cricket #T20worldcup",2022-04-28 08:07:41+00:00
1519589156837593089,covid,"RT @rudende: With the announcement of the easing of some #COVIDー19 protocols for the fully vaxxed, there's no time like the present to see…",2022-04-28 08:07:42+00:00
1519589167071592448,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:44+00:00
1519589167071592448,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:44+00:00
1519589167071592448,ipl,"RT @DelhiCapitals: #RP17 peppering all parts of the field like 🤩

#YehHaiNayiDilli | #IPL2022 | #TATAIPL | #IPL | #DelhiCapitals | @Rishabh…",2022-04-28 08:07:44+00:00
1519589168929992704,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:07:45+00:00
1519589168929992704,ipl,"RT @LeadDigitalIn: #ContestAlert 

Quiz - 26

Who will hit the maximum today?

Know more - https://t.co/2A3M2EJam8

#IPL2022 #IPL #TATAIPL…",2022-04-28 08:07:45+00:00
